Location,Minimum,Average,Maximum
Reserve,30.0741,30.0741,30.0741,1
Rehli,23.63,23.63,23.63,1
Purushottampur,19.5202,19.5202,19.5202,1
Cattolica,43.9667,43.9667,43.9667,1
North Madison,41.8297,41.8297,41.8297,1
Reserva,-24.65,-24.65,-24.65,1
Scobinţi,47.3833,47.3833,47.3833,1
Tirunāgeswaram,10.9646,10.9646,10.9646,1
Pionerskiy,54.9517,54.9517,54.9517,1
Emmiganūr,15.7333,15.7333,15.7333,1
Pahou,6.3833,6.3833,6.3833,1
Uchturpan,41.2136,41.2136,41.2136,1
Zango,12.9333,12.9333,12.9333,1
Chico,39.7578,39.7578,39.7578,1
Caluya,11.932,11.932,11.932,1
Kyustendil,42.2833,42.2833,42.2833,1
Camponogara,45.3833,45.3833,45.3833,1
Hauzenberg,48.65,48.65,48.65,1
Bihpur,25.3889,25.3889,25.3889,1
Aubière,45.7508,45.7508,45.7508,1
Chonthrhu,32.4865,32.4865,32.4865,1
Manabo,17.4331,17.4331,17.4331,1
Pallisa,1.1675,1.1675,1.1675,1
Yunfu,28.6331,28.6331,28.6331,1
Zhaxi,27.844,27.844,27.844,1
Half Moon Bay,37.4685,37.4685,37.4685,1
Las Rosas,-32.4833,-8.0583,16.3667,2
Alatsinainy-Bakaro,-19.3167,-19.3167,-19.3167,1
La Celle-Saint-Cloud,48.8411,48.8411,48.8411,1
Hirokawa,33.2415,33.2415,33.2415,1
Marinha Grande,39.75,39.75,39.75,1
San Francisco del Rincón,21.0228,21.0228,21.0228,1
Lindås,60.6247,60.6247,60.6247,1
Guardamar del Segura,38.0897,38.0897,38.0897,1
Bhola,22.6863,22.6863,22.6863,1
College Park,33.6363,36.316147,38.996,2
Esneux,50.5333,50.5333,50.5333,1
Geesthacht,53.4375,53.4375,53.4375,1
Chornobaivka,46.7006,46.7006,46.7006,1
Castelvetro di Modena,44.5,44.5,44.5,1
Forquilha,-3.7978,-3.7978,-3.7978,1
Beauharnois,45.32,45.32,45.32,1
Reshuijie,24.458,24.458,24.458,1
Maranguape,-3.89,-3.89,-3.89,1
Konza,-1.7496,-1.7496,-1.7496,1
Calvisano,45.3489,45.3489,45.3489,1
Rostamābād,36.8983,36.8983,36.8983,1
Köping,59.5167,59.5167,59.5167,1
Arrigorriaga,43.2078,43.2078,43.2078,1
Elko,40.8381,40.8381,40.8381,1
Vaddādi,17.8474,17.8474,17.8474,1
Rānia,29.53,29.53,29.53,1
Tilarán,10.4709,10.4709,10.4709,1
Jibou,47.2667,47.2667,47.2667,1
Canal Winchester,39.8437,39.8437,39.8437,1
Coahuitlán,20.2667,20.2667,20.2667,1
Ambohitralanana,-15.2333,-15.2333,-15.2333,1
Abu,24.5925,24.5925,24.5925,1
Abdullahnagar,25.7683,25.7683,25.7683,1
Sinop,-11.8481,15.0893,42.0267,2
West Lampeter,39.9947,39.9947,39.9947,1
Tacima,-6.4878,-6.4878,-6.4878,1
Langenzenn,49.4944,49.4944,49.4944,1
Babaeski,41.4325,41.4325,41.4325,1
Milford,38.9091,41.078125,42.8178,4
Minnāl,13.0744,13.0744,13.0744,1
Āllagadda,15.1322,15.1322,15.1322,1
Hayashima,34.6006,34.6006,34.6006,1
